용도,개발위치,소재지,데이터기준일자
농업용수,대구광역시 북구 국우동 715번지 1호 ,   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 3호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
농업용수,대구광역시 북구 관음동 373번지 ,대구광역시 북구 관음동로17길 22(관음동),2024-07-26
생활용수,대구광역시 북구 태전동 산 7번지 대구보건대학 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 29번지 2호 삼성건강원 ,   ,2024-07-26
농업용수,대구광역시 북구 국우동 245번지 1호 ,   ,2024-07-26
공업용수,대구광역시 북구 침산동 118번지 17호 (도로명 : 대구광역시 북구 중앙대로123길 15-2 (침산동)),대구광역시 북구 대구체육관로4길 15 (산격동),2024-07-26
생활용수,대구광역시 북구 국우동 505번지 (도로명 : 대구광역시 북구 호국로 589-33 (국우동)),대구광역시 동구 아양로49길 20 103동 102호 (신암동동서청기와A),2024-07-26
농업용수,대구광역시 북구 연경동 122번지 ,대구광역시 북구 구암로 379 (국우동),2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 6호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 국우동 489번지 4호 ,대구광역시 북구 도남길 37 (국우동),2024-07-26
생활용수,대구광역시 북구 복현동 315번지 성보재활원 (도로명 : 대구광역시 북구 동북로71길 9-29 (복현동성보재활원)),대구광역시 북구 동북로71길 9-29 성보재활원 (복현동),2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 산격동 1207번지 57호 (도로명 : 대구광역시 북구 동북로 144-1 (산격동)),충청남도 서산시 수석6길 12-22 (수석동),2024-07-26
농업용수,대구광역시 북구 금호동 449번지 ,대구광역시 서구 북비산로 310-9 (평리동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
농업용수,대구광역시 북구 도남동 321번지 1호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 국우동 산 52번지 1호 (도로명 : 대구광역시 북구 호국로 499 (국우동)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 대현동 322번지 15호 해동빌딩 (도로명 : 대구광역시 북구 신암로 57 (대현동해동빌딩)),대구광역시 북구 신암로 57 (대현동),2024-07-26
공업용수,대구광역시 북구 태전동 204번지 4호 (도로명 : 대구광역시 북구 태전로1길 34-10 (태전동)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 학정동 404번지 ,대구광역시 북구 노본길 17-1 (학정동),2024-07-26
농업용수,대구광역시 북구 국우동 398번지 (도로명 : 대구광역시 북구 솟골길 139 (국우동)),   ,2024-07-26
농업용수,대구광역시 북구 도남동 757번지 2호 (도로명 : 대구광역시 북구 도남길 123-26 (도남동)),대구광역시 북구 도남길 148-69 (도남동),2024-07-26
농업용수,대구광역시 북구 학정동 409번지 ,대구광역시 북구 노본길 25(학정동),2024-07-26
생활용수,대구광역시 북구 태전동 608번지 5호 삼성아파트 (도로명 : 대구광역시 북구 칠곡중앙대로52길 20 (태전동삼성아파트)),대구광역시 북구 칠곡중앙대로52길 20 4동 406호 (태전동삼성아파트),2024-07-26
농업용수,대구광역시 북구 도남동 285번지 ,대구광역시 달성군 유가읍 테크노대로 195 109동 1202호 (대구테크노폴리스 반도유보라 아이비파크),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 14호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
농업용수,대구광역시 북구 태전동 445번지 ,대구광역시 북구 칠곡중앙대로 598 107동 1106호 (읍내동 칠곡 e-편한세상),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 11호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 8호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 산격동 724번지 25호 (도로명 : 대구광역시 북구 신천동로 978 (산격동)),대구광역시 북구 성북로 50 102동 1106호 (침산동선학맨션),2024-07-26
생활용수,대구광역시 북구 동변동 445번지 (도로명 : 대구광역시 북구 동변로18길 27 (동변동)),대구광역시 북구 동변로18길 27 (동변동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 89번지 (도로명 : 대구광역시 북구 칠성시장로 19 (칠성동1가 경명시장 관리실)),서울특별시 중구 수표로 45 719호 (저동2가 비즈센터),2024-07-26
생활용수,대구광역시 북구 노원동3가 767번지 2호 (도로명 : 대구광역시 북구 팔달로33길 17 (노원동3가)),   ,2024-07-26
농업용수,대구광역시 북구 금호동 55번지 (도로명 : 대구광역시 북구 문주길 146-35 (금호동)),대구광역시 북구 문주길 146-35 (금호동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 1호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 서변동 37번지 3호 ,대구광역시 북구 서변로 26 707동 1501호 (서변동 동서변 월드메르디앙 아파트),2024-07-26
생활용수,대구광역시 북구 매천동 385번지 3호 (도로명 : 대구광역시 북구 매천로25길 12 (매천동)),대구광역시 북구 태암로3길 3-18 (태전동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 16호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 12호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 97번지 2호 취백수산 (도로명 : 대구광역시 북구 칠성시장로 15 (칠성동1가 취백수산)),대구광역시 북구 대현로10길 82 104동 1901호 (대현동 대현e편한세상아파트),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 4호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 동천동 899번지 3호 (도로명 : 대구광역시 북구 동천로 130-5 (동천동)),   ,2024-07-26
농업용수,대구광역시 북구 동변동 27번지 ,   ,2024-07-26
농업용수,대구광역시 북구 연경동 106번지 (도로명 : 대구광역시 북구 도덕길 333 (연경동)),대구광역시 북구 서변로21길 11 301호 (서변동),2024-07-26
생활용수,대구광역시 북구 태전동 산 7번지 대구보건대학 ,   ,2024-07-26
농업용수,대구광역시 북구 읍내동 128번지 (도로명 : 대구광역시 북구 칠곡중앙대로129길 130 (읍내동)),대구광역시 북구 학정로110길 29 107동 603호 (학정동 학정청아람),2024-07-26
농업용수,대구광역시 북구 동호동 339번지 ,경상북도 칠곡군 가산면 유학로 919-19,2024-07-26
생활용수,대구광역시 북구 칠성동1가 80번지 1호 합천상회 (도로명 : 대구광역시 북구 칠성시장로5길 27 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 읍내동 1090번지 (도로명 : 대구광역시 북구 구암로21길 41(읍내동)),대구광역시 북구 원대로 130 화성산업(주) 주택전시관 2층 (침산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 27번지 4호 (도로명 : 대구광역시 북구 칠성시장로5길 29-10 (칠성동1가)),대구광역시 북구 칠성시장로5길 29-12 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 산격동 14번지 18호 (도로명 : 대구광역시 북구 검단공단로21길 50-36 (산격동)),대구광역시 북구 침산로21길 10 201동 604호 (침산동대한.동아침산2차무지개아파트),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 구암동 772번지 (도로명 : 대구광역시 북구 구암서로 70 (구암동)),대구광역시 북구 구암서로 70 (구암동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 98번지 6호 충북참기름 (도로명 : 대구광역시 북구 칠성시장로5길 7-1 (칠성동1가)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 9호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
농업용수,대구광역시 북구 관음동 45번지 ,대구광역시 중구 중앙대로66길 20 103동 1903호 (남산동 반월당효성해링턴플레이스),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 5호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 74번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 26-19 (칠성동1가)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 9호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 101번지 1호 (도로명 : 대구광역시 북구 칠성시장로3길 10-20 (칠성동1가)),경상북도 경산시 옥산동 884번지 2호 26통 6반 청구타운 105동 103호,2024-07-26
농업용수,대구광역시 북구 국우동 83번지 9호 ,대구광역시 북구 구리로 250 105동 1303호 (국우동 그린빌1),2024-07-26
생활용수,대구광역시 북구 읍내동 952번지 강북요양병원 (도로명 : 대구광역시 북구 칠곡중앙대로 504-6 (읍내동강북요양병원)),대구광역시 북구 칠곡중앙대로 504-6 (읍내동),2024-07-26
농업용수,대구광역시 북구 국우동 384번지 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 74번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 26-23 (칠성동1가)),   ,2024-07-26
농업용수,대구광역시 북구 복현동 299번지 3호 ,대구광역시 수성구 달구벌대로669길 50 106동 1404호 (사월동 시지한신휴플러스),2024-07-26
생활용수,대구광역시 북구 구암동 786번지 그린빌3단지 (도로명 : 대구광역시 북구 구암서로 41 (구암동그린빌3단지)),대구광역시 북구 구암서로 41 (구암동),2024-07-26
생활용수,대구광역시 북구 읍내동 1202번지 (도로명 : 대구광역시 북구 칠곡중앙대로 518-9 (읍내동)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 68번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 26-16 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-16 (칠성동1가),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 15호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 6호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 구암동 786번지 그린빌3단지 (도로명 : 대구광역시 북구 구암서로 41 (구암동그린빌3단지)),대구광역시 북구 구암서로 41 (구암동),2024-07-26
생활용수,대구광역시 북구 학정동 147번지 2호 (도로명 : 대구광역시 북구 구리로 151 (학정동)),경상북도 안동시 풍산읍 풍산태사로 1626-128,2024-07-26
생활용수,대구광역시 북구 침산동 919번지 (도로명 : 대구광역시 북구 침산로67길 50-3 (침산동)),대구광역시 동구 방촌로1길 12 901호 (검사동),2024-07-26
농업용수,대구광역시 북구 구암동 25번지 ,대구광역시 북구 팔거천동로 52 303동 207호 (구암동 칠곡미래타운),2024-07-26
생활용수,대구광역시 북구 노원동3가 754번지 2호 (도로명 : 대구광역시 북구 팔달로33길 41-3 (노원동3가)),   ,2024-07-26
농업용수,대구광역시 북구 관음동 64번지 ,대구광역시 북구 학정로42길 18-8 (구암동),2024-07-26
농업용수,대구광역시 북구 구암동 26번지 ,대구광역시 북구 칠곡중앙대로125길 7 106동 703층 (읍내동 SD 아이프라임 강북),2024-07-26
농업용수,대구광역시 북구 금호동 165번지 (도로명 : 대구광역시 북구 문주길 28-3 (금호동)),   ,2024-07-26
농업용수,대구광역시 북구 읍내동 29번지 ,대구광역시 북구 읍내동 29번지 ,2024-07-26
생활용수,대구광역시 북구 산격동 1498번지 55호 (도로명 : 대구광역시 북구 대구체육관로 34 (산격동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 176번지 28호 (도로명 : 대구광역시 북구 칠성남로 202-2 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 매천동 460번지 1호 (도로명 : 대구광역시 북구 매천로17길 40 (매천동)),대구광역시 북구 매천로17길 40 (매천동),2024-07-26
농업용수,대구광역시 북구 태전동 62번지 ,대구광역시 북구 칠성로 73 1201호 (칠성동2가 광명맨션),2024-07-26
생활용수,대구광역시 북구 읍내동 1140번지 카톨릭피부과 (도로명 : 대구광역시 북구 구암로15길 28 (읍내동카톨릭피부과)),대구광역시 북구 구암로15길 28 (읍내동 가톨릭피부과의원),2024-07-26
공업용수,대구광역시 북구 침산동 561번지 (도로명 : 대구광역시 북구 침산로 205(침산동)),대구광역시 북구 침산로 205 (침산동 무림에스피(주)),2024-07-26
농업용수,대구광역시 북구 읍내동 산 82번지 1호 ,대구광역시 남구 중앙대로42길 10 (대명동),2024-07-26
농업용수,대구광역시 북구 서변동 산 20번지 ,대구광역시 북구 서변로 88 106동 802호 (서변동 동서리치모아),2024-07-26
농업용수,대구광역시 북구 학정동 534번지 (도로명 : 대구광역시 북구 구리로7길 100 (학정동)),   ,2024-07-26
농업용수,대구광역시 북구 국우동 516번지 1호 (도로명 : 대구광역시 북구 호국로 589-36 (국우동)),대구광역시 북구 도남길 24 (국우동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 6호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 학정동 798번지 2호 (도로명 : 대구광역시 북구 구리로1길 45-10 (학정동)),대구광역시 북구 구리로1길 45-10 (학정동),2024-07-26
농업용수,대구광역시 북구 국우동 400번지 2호 ,   ,2024-07-26
생활용수,대구광역시 북구 구암동 773번지 함지근린공원 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 98번지 4호 (도로명 : 대구광역시 북구 칠성시장로5길 5-1 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 55번지 2호 협신상회 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 107번지 7호 (도로명 : 대구광역시 북구 칠성시장로3길 3 (칠성동1가)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 연경동 514번지 ,대구광역시 달성군 유가면 봉리 387번지 1호 3통 2반 ,2024-07-26
공업용수,대구광역시 북구 침산동 1061번지 3호 (도로명 : 대구광역시 북구 오봉로24길 13 (침산동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 68번지 5호 (도로명 : 대구광역시 북구 칠성시장로5길 25 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 동변동 58번지 (도로명 : 대구광역시 북구 화담길 197 (동변동)),   ,2024-07-26
농업용수,대구광역시 북구 국우동 655번지 (도로명 : 대구광역시 북구 도남길 45-16 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 대현동 25번지 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 71번지 1호 (도로명 : 대구광역시 북구 칠성시장로3길 26-6 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 침산동 158번지 21호 침산두채 (도로명 : 대구광역시 북구 중앙대로 556-11 (침산동침산두채)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 4호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 태전동 443번지 1호 (도로명 : 대구광역시 북구 학정로 110-25 (태전동)),대구광역시 북구 학정로 110-25 (태전동),2024-07-26
농업용수,대구광역시 북구 연경동 570번지 8호 ,경상북도 고령군 성산면 오곡리 53길 ,2024-07-26
농업용수,대구광역시 북구 서변동 568번지 ,대구광역시 북구 매천로 20-19 (팔달동),2024-07-26
생활용수,대구광역시 북구 노원동3가 750번지 3호 (도로명 : 대구광역시 북구 팔달로27길 28 (노원동3가)),대구광역시 북구 노원로10길 98-12 101동 302호 (노원동2가하이츠빌라),2024-07-26
생활용수,대구광역시 북구 구암동 772번지 그린빌2단지 (도로명 : 대구광역시 북구 구암서로 70 (구암동그린빌2단지)),대구광역시 북구 구암서로 70 (구암동),2024-07-26
생활용수,대구광역시 북구 대현동 190번지 17호 대양목욕탕 (도로명 : 대구광역시 북구 대현로21길 36 (대현동대양목욕탕)),대구광역시 북구 대현로21길 36 (대현동),2024-07-26
생활용수,대구광역시 북구 칠성동2가 302번지 353호 (도로명 : 대구광역시 북구 칠성남로30길 17(칠성동2가)),서울특별시 종로구 종로 33 그랑서울 (청진동),2024-07-26
생활용수,대구광역시 북구 대현동 25번지 7호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 학정동 436번지 ,대구광역시 서구 비산동 939번지 18호 ,2024-07-26
생활용수,대구광역시 북구 국우동 719번지 1호 (도로명 : 대구광역시 북구 도남길 1 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 연경동 962번지 1호 ,대구광역시 달서구 조암남로 42 트럼프스타 405호 (월성동),2024-07-26
농업용수,대구광역시 북구 금호동 497번지 ,대구광역시 서구 서대구로54길 10-4(비산동),2024-07-26
생활용수,대구광역시 북구 노원동3가 70번지 태양카프라자 (도로명 : 대구광역시 북구 노원로17길 42 (노원동3가태양카프라자)),대구광역시 북구 팔거천서로 181 101동 1303호 (읍내동칠곡럭키APT),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 7호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 3호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 서변동 495번지 (도로명 : 대구광역시 북구 호국로 300-6 (서변동)),   ,2024-07-26
농업용수,대구광역시 북구 연경동 516번지 ,대구광역시 북구 노원동로 50 (노원동2가),2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 8호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 연경동 872번지 5호 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 99번지 2호 해정상회 (도로명 : 대구광역시 북구 칠성시장로3길 10-32 (칠성동1가 해정상회)),   ,2024-07-26
농업용수,대구광역시 북구 연경동 산 169번지 ,대구광역시 북구 이곡길 35-41 (서변동),2024-07-26
농업용수,대구광역시 북구 금호동 63번지 3호 ,대구광역시 달성군 구지면 국가산단대로64길 63 101동 1402호 (대구국가산단 ZOOM 파크),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 11호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 14호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 서변동 18번지 6호 ,대구광역시 달서구 학산로7길 5 103동 1106호 (월성동 월성동서타운),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 13호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 태전동 496번지 12호 (도로명 : 대구광역시 북구 칠곡중앙대로 217 (태전동)),   ,2024-07-26
농업용수,대구광역시 북구 복현동 291번지 ,대구광역시 동구 큰고개로 67-6 (신암동),2024-07-26
생활용수,대구광역시 북구 침산동 840번지 2호 (도로명 : 대구광역시 북구 노원로47길 3 (침산동)),   ,2024-07-26
생활용수,대구광역시 북구 대현동 25번지 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 복현동 573번지 8호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 매천동 37번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 749번지 8호 (도로명 : 대구광역시 북구 연암로36길 2 (산격동)),대구광역시 북구 연암로36길 2 (산격동),2024-07-26
농업용수,대구광역시 북구 국우동 472번지 ,   ,2024-07-26
생활용수,대구광역시 북구 복현동 573번지 15호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 구암동 786번지 (도로명 : 대구광역시 북구 구암서로 41 (구암동)),대구광역시 북구 구암서로 41 (구암동),2024-07-26
생활용수,대구광역시 북구 연경동 831번지 7호 ,대구광역시 달서구 상화로 272 LH대구경북지역본부 1층 (도원동),2024-07-26
농업용수,대구광역시 북구 연경동 94번지 2호 ,대구광역시 북구 도덕길 348 (연경동),2024-07-26
생활용수,대구광역시 북구 복현동 573번지 2호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 85번지 (도로명 : 대구광역시 북구 칠성시장로5길 14 (칠성동1가)),대구광역시 달서구 학산로 30 111동 310호 (월성동월성보성타운),2024-07-26
농업용수,대구광역시 북구 국우동 491번지 (도로명 : 대구광역시 북구 호국로 591 (국우동)),   ,2024-07-26
농업용수,대구광역시 북구 서변동 534번지 ,대구광역시 수성구 달구벌대로 2570 A동 1603호 (만촌동 수성 아크로타워),2024-07-26
생활용수,대구광역시 북구 복현동 539번지 111호 (도로명 : 대구광역시 북구 복현로 137 (복현동)),대구광역시 북구 복현로 137 103동 1601호 (복현동복현대백맨션),2024-07-26
생활용수,대구광역시 북구 칠성동1가 61번지 5호 (도로명 : 대구광역시 북구 칠성시장로3길 18-10 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 172번지 9호 ,대구광역시 북구 침산남로37길 24 101동 901호 (침산동침산2차화성타운),2024-07-26
생활용수,대구광역시 북구 노원동3가 347번지 (도로명 : 대구광역시 북구 노원로 39 (노원동3가)),   ,2024-07-26
농업용수,대구광역시 북구 도남동 710번지 2호 (도로명 : 대구광역시 북구 도남길 140-8 (도남동)),대구광역시 북구 도남길 140-8 (도남동),2024-07-26
농업용수,대구광역시 북구 동변동 163번지 1호 ,대구광역시 북구 동변로 50 101동 1305호 (동변동 선수촌아파트),2024-07-26
농업용수,대구광역시 북구 매천동 31번지 ,대구광역시 북구 매천동 31번지 ,2024-07-26
농업용수,대구광역시 북구 동변동 132번지 1호 ,대구광역시 북구 동변로24길 106 (동변동),2024-07-26
생활용수,대구광역시 북구 서변동 1786번지 대성골든프라자1차 (도로명 : 대구광역시 북구 호국로 219 대성골든프라자1차 (서변동)),대구광역시 북구 호국로 219 대성골든프라자1차 (서변동),2024-07-26
농업용수,대구광역시 북구 국우동 378번지 1호 ,대구광역시 북구 국우동 378번지 1호 ,2024-07-26
생활용수,대구광역시 북구 태전동 973번지 3호 (도로명 : 대구광역시 북구 칠곡중앙대로 349 (태전동)),대구광역시 북구 칠곡중앙대로 349 (태전동),2024-07-26
농업용수,대구광역시 북구 조야동 40번지 ,대구광역시 북구 조야로 81-2 (조야동),2024-07-26
생활용수,대구광역시 북구 침산동 101번지 3호 침산삼주아파트 (도로명 : 대구광역시 북구 중앙대로118길 46 (침산동침산삼주아파트)),대구광역시 북구 중앙대로118길 46 (침산동침산삼주아파트),2024-07-26
생활용수,대구광역시 북구 칠성동1가 72번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 26 (칠성동1가)),대구광역시 동구 동대구로 596 B동 401호 (신암동),2024-07-26
생활용수,대구광역시 북구 국우동 444번지 1호 (도로명 : 대구광역시 북구 솟골길 82-39 (국우동)),대구광역시 북구 환성정길 21-19 (서변동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 72번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 26 (칠성동1가)),대구광역시 북구 칠성시장로3길 26 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 서변동 641번지 1호 (도로명 : 대구광역시 북구 도곡길 42 (서변동)),대구광역시 북구 호국로57길 28-3 (서변동),2024-07-26
생활용수,대구광역시 북구 서변동 551번지 (도로명 : 대구광역시 북구 도곡길 98-2 (서변동)),대구광역시 북구 도곡길 98-2 (서변동),2024-07-26
농업용수,대구광역시 북구 조야동 26번지 (도로명 : 대구광역시 북구 조야로12길 50 (조야동)),대구광역시 북구 조야로12길 50 (조야동),2024-07-26
생활용수,대구광역시 북구 서변동 509번지 (도로명 : 대구광역시 북구 도곡길 16 (서변동)),대구광역시 북구 도곡길 16 (서변동),2024-07-26
농업용수,대구광역시 북구 서변동 292번지 ,대구광역시 북구 서변동 292번지 ,2024-07-26
생활용수,대구광역시 북구 산격동 167번지 (도로명 : 대구광역시 북구 유통단지로8길 78 (산격동)),   ,2024-07-26
농업용수,대구광역시 북구 금호동 447번지 (도로명 : 대구광역시 북구 사수로 402-6(금호동)),경상북도 경주시 용담로 24-3 401호 (황성동 동보아파트),2024-07-26
생활용수,대구광역시 북구 도남동 720번지 2호 (도로명 : 대구광역시 북구 도남길 138 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 관음동 40번지 예천두채 (도로명 : 대구광역시 북구 양지마을길 62 (관음동예천두채)),대구광역시 북구 양지마을길 62 (관음동),2024-07-26
생활용수,대구광역시 북구 서변동 548번지 (도로명 : 대구광역시 북구 도곡길 94 (서변동)),대구광역시 북구 도곡길 94 (서변동),2024-07-26
생활용수,대구광역시 북구 도남동 600번지 (도로명 : 대구광역시 북구 도남길 148-69 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 팔달동 220번지 3호 ,대구광역시 북구 팔달동 220번지 3호 ,2024-07-26
농업용수,대구광역시 북구 서변동 57번지 2호 ,대구광역시 달서구 당산로24길 62-1 (성당동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 159번지 2호 (도로명 : 대구광역시 북구 칠성남로 224 (칠성동1가)),대구광역시 북구 칠성남로 224 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 노원동3가 750번지 10호 (도로명 : 대구광역시 북구 팔달로33길 45 (노원동3가)),대구광역시 서구 서대구로62길 28 4층 (비산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 64번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 18 (칠성동1가)),대구광역시 북구 칠성시장로3길 18 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 국우동 381번지 (도로명 : 대구광역시 북구 솟골길 126 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 도남동 616번지 (도로명 : 대구광역시 북구 도남길 148-39 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 도남동 392번지 3호 (도로명 : 대구광역시 북구 도남길 217 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 서변동 552번지 (도로명 : 대구광역시 북구 도곡길 100-1 (서변동)),대구광역시 북구 도곡길 100-1 (서변동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 80번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 26-25 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-25 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 도남동 455번지 ,대구광역시 북구 도남동 455번지 ,2024-07-26
농업용수,대구광역시 북구 읍내동 26번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 서변동 521번지 ,대구광역시 북구 서변동 846번지 ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 66번지 6호 (도로명 : 대구광역시 북구 칠성시장로3길 18-7 (칠성동1가)),대구광역시 남구 이천로32길 22-1 (이천동),2024-07-26
